Account#,Gross_TWR
16454980,0.7373503232387778
89586184,0.10907068346490179
25254169,0.48026759701681154
32855250,0.6468339012526727
50521112,0.14363730464346391
15304574,0.45130411938607307
90966976,0.6473189064329659
33490983,0.8062723269577876
17304409,0.550079861096392
64613873,0.24434280076321324
45719008,0.1659154356288186
35496880,0.6884754655178031
35747695,0.9718015580381426
87478197,0.3497698876641435
59133663,0.050684673612537146
48522519,0.8108748095917375
74113762,0.9508704752242663
39673860,0.022263262202951717
41382736,0.7988190207005569
60082764,0.9256690773353742
90628538,0.12029691388404395
50056483,0.712056938209248
29869622,0.6068447322294108
68885682,0.2261947871016442
11175387,0.9380447124443355
40991854,0.6142542408192925
73391026,0.46052971326367187
87377645,0.35688620517869407
91261205,0.6976925568158245
17050106,0.9244615085831528
26321760,0.8692093677206769
88186775,0.33498036495072336
25677163,0.415550313567028
38176385,0.03931293435401095
86256910,0.7392258102065601
45349105,0.7470624565523724
41009983,0.2325267949537947
76171328,0.49764165971044383
46516575,0.4072134748339886
56886691,0.6421558927405662
97161208,0.2204826796633691
53098837,0.9614425091675324
53880247,0.5182892134009808
11000358,0.5832881107591031
36783718,0.13076388051275856
78406765,0.6482781449220861
92989306,0.8884422623579709
59323762,0.222337649377096
60509201,0.6094133124687235
46232085,0.6385372814542644
91857927,0.14370119277188975
36022827,0.27197040187802934
62226056,0.7367069249471698
49846576,0.28011613345313413
45976165,0.10459444879345936
89819875,0.7359973831415335
30139528,0.06759968098566993
97468259,0.0915084924345736
48146398,0.43428341370299595
54067044,0.6041495369813111
88386142,0.18989577136465607
62921851,0.8639303089724545
81107340,0.8308454079737068
63261614,0.2795868831585421
43535876,0.11209417910579811
53661630,0.10657110924816182
15714590,0.7024304450795165
50790291,0.9671331257187982
53644912,0.10750682857443816
48889336,0.3255495961886328
57274775,0.6724917256665119
50614556,0.7100510240309313
41921881,0.13703172850595102
82698212,0.14445249244517733
77733346,0.932919458863547
72155274,0.755598924677404
47336374,0.12915954618951608
85446851,0.6273138951540173
86162463,0.33130152066566365
87502514,0.3274250486649497
48186415,0.9697226889899124
22607714,0.7204353673029745
61406153,0.19838884627179076
46739378,0.5426579888024278
39016667,0.7424430782553786
48469634,0.19622078522565178
88796456,0.30688509947035525
16379682,0.6554216581583703
97942659,0.006047178332135528
43743877,0.12305520947491178
23215310,0.8073101423174852
91663647,0.7532480922865984
23668564,0.783149780596725
51275404,0.44635669112519916
24510381,0.7713554060778289
73339341,0.3317788856794275
54548275,0.14652761532354197
74106999,0.9879845418330689
17572773,0.6273197584279241
80174186,0.29898077568098835
20970016,0.27181196813837727
65729681,0.39282867892247253
17443263,0.21274752731292268
72097534,0.2182068562863575
58650698,0.28725140008883543
35838990,0.02390954361476405
10654045,0.08948861507543426
28993863,0.40771900501705993
40071910,0.9450625023483816
55609833,0.14351906266580539
41411778,0.4612514607659868
94263267,0.2867769998149009
76285715,0.16264659440514573
82158042,0.23156484517465104
42433769,0.04359991156127341
44852214,0.10723945604353502
13580539,0.9134721411051563
87374804,0.59796681966295
65191321,0.18793269647439403
15183939,0.21514718699766966
42836203,0.6631354335624096
12648366,0.29375794933550126
49566482,0.3017110173301042
43481078,0.07956556916495505
79552562,0.34357306456653913
23845946,0.616168902317444
94593500,0.33594477795996547
69034632,0.26901531238976906
87800161,0.26489392456896255
82726117,0.4942922446693203
